シェル,画面,ボタン名称,背景色,文字色,枠色
HIA総合管理,[緑] 健康保険組合編集,暗号化＆匿名化,#ffffff,#555555,#e5e7eb
HIA総合管理,[緑] 健康保険組合編集,暗号化のみ,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 健康保険組合編集,匿名化のみ,#ffffff,#555555,#e5e7eb
HIA総合管理,[緑] 健康保険組合編集,暗号化＆匿名化,#ffffff,#555555,#e5e7eb
HIA総合管理,[緑] 健康保険組合編集,非表示,#ffffff,#555555,#e5e7eb
HIA総合管理,[緑] 健康保険組合編集,キャンセル,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 健康保険組合編集,更新,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 医療機関入金状況,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 医療機関入金状況,ダウンロード,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 医療機関入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 医療機関入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#e8f0fb,#2563b0,transparent
HIA総合管理,[緑] 医療機関入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 医療機関入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#e8f0fb,#2563b0,transparent
HIA総合管理,[緑] 医療機関入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#f3f4f6,#6b7280,transparent
HIA総合管理,[緑] 医療機関入金状況,未入金,#fef3c7,#b45309,#fde68a
HIA総合管理,[緑] 医療機関入金状況,入金日確認,#e8f0fb,#2563b0,transparent
HIA総合管理,[緑] 検査マスタ,戻る,#ffffff,#666666,#cccccc
HIA総合管理,[緑] 検査マスタ,新規作成,#2f4f4f,#ffffff,#2f4f4f
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
HIA総合管理,[緑] 検査マスタ,設定済,#e8f4ec,#15803d,#e8f4ec
HIA総合管理,[緑] 検査マスタ,未設定,#f1f5f9,#64748b,#cbd5e1
